titre,annee,mois,date_publication,tues_metropole,resume,source,url
Baromètre décembre 2022,2022,12,31/01/2023,276.0,"En décembre 2022, 276 personnes sont décédées sur les routes de France métropolitaine, et 23 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre novembre 2022,2022,11,13/12/2022,248.0,"En novembre 2022, 248 personnes sont décédées sur les routes de France métropolitaine, et 19 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre octobre 2022,2022,10,14/11/2022,295.0,"En octobre 2022, 295 personnes sont décédées sur les routes de France métropolitaine, et 33 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre septembre 2022,2022,9,17/10/2022,262.0,"En septembre 2022, 262 personnes sont décédées sur les routes de France métropolitaine, et 19 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre août 2022,2022,8,14/09/2022,305.0,"En août 2022, 305 personnes sont décédées sur les routes de France métropolitaine, et 17 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre juillet 2022,2022,7,19/08/2022,354.0,"En juillet 2022, 354 personnes sont décédées sur les routes de France métropolitaine, et 23 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre juin 2022,2022,6,13/07/2022,302.0,"En juin 2022, 302 personnes sont décédées sur les routes de France métropolitaine, et 23 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre mai 2022,2022,5,21/06/2022,293.0,"En mai 2022, 293 personnes sont décédées sur les routes de France métropolitaine, et 23 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre avril 2022,2022,4,13/05/2022,262.0,"En avril 2022, 262 personnes sont décédées sur les routes de France métropolitaine, et 14 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre mars 2022,2022,3,14/04/2022,231.0,"En mars 2022, 231 personnes sont décédées sur les routes de France métropolitaine, et 26 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=689
Baromètre décembre 2023,2023,12,31/01/2024,294.0,"En décembre 2023, 294 personnes sont décédées sur les routes de France métropolitaine, et 20 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre novembre 2023,2023,11,14/12/2023,281.0,"En novembre 2023, 281 personnes sont décédées sur les routes de France métropolitaine, et 15 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre octobre 2023,2023,10,16/11/2023,308.0,"En octobre 2023, 308 personnes sont décédées sur les routes de France métropolitaine, et 17 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre août 2023,2023,8,14/09/2023,286.0,"En août 2023, 286 personnes sont décédées sur les routes de France métropolitaine, et 18 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre juillet 2023,2023,7,11/08/2023,305.0,"En juillet 2023, 305 personnes sont décédées sur les routes de France métropolitaine, et 17 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre juin 2023,2023,6,12/07/2023,281.0,"En juin 2023, 281 personnes sont décédées sur les routes de France métropolitaine, et 19 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre mai 2023,2023,5,24/05/2023,,"En mai 2023, 234 sont décédées sur les routes de France métropolitaine, et 18 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre avril 2023,2023,4,17/05/2023,219.0,"En avril 2023, 219 personnes sont décédées sur les routes de France métropolitaine, et 26 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre mars 2023,2023,3,14/04/2023,195.0,"En mars 2023, 195 personnes sont décédées sur les routes de France métropolitaine, et 17 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre février 2023,2023,2,16/03/2023,217.0,"En février 2023, 217 personnes sont décédées sur les routes de France métropolitaine, et 12 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=440799
Baromètre décembre 2024,2024,12,30/01/2025,270.0,"En décembre 2024, 270 personnes sont décédées sur les routes de France métropolitaine, et 36 outre-mer",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
Baromètre novembre 2024,2024,11,11/12/2024,270.0,"En novembre 2024, 270 personnes sont décédées sur les routes de France métropolitaine, et 28 outre-mer",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
Baromètre octobre 2024,2024,10,18/11/2024,316.0,"En octobre 2024, 316 personnes sont décédées sur les routes de France métropolitaine, et 18 outre-mer",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
Baromètre septembre 2024,2024,9,11/10/2024,272.0,"En septembre 2024, 272 personnes sont décédées sur les routes de France métropolitaine, et 16 outre-mer",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
Baromètre août 2024,2024,8,16/09/2024,291.0,"En août 2024, 291 personnes sont décédées sur les routes de France métropolitaine, et 25 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
Baromètre juillet 2024,2024,7,12/08/2024,278.0,"En juillet 2024, 278 personnes sont décédées sur les routes de France métropolitaine, et 15 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
Baromètre juin 2024,2024,6,12/07/2024,291.0,"En juin 2024, 291 personnes sont décédées sur les routes de France métropolitaine, et 13 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
Baromètre mai 2024,2024,5,14/06/2024,249.0,"En mai 2024, 249 personnes sont décédées sur les routes de France métropolitaine, et 15 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
Baromètre avril 2024,2024,4,16/05/2024,242.0,"En avril 2024, 242 personnes sont décédées sur les routes de France métropolitaine, et 13 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
Baromètre mars 2024,2024,3,15/04/2024,254.0,"En mars 2024, 254 personnes sont décédées sur les routes de France métropolitaine, et 18 outre-mer.",ONISR barometre mensuel,https://www.onisr.securite-routiere.gouv.fr/etat-de-l-insecurite-routiere?field_theme_target_id=645&field_annees_target_id=707490
